county_name,coverage_estimate,location_count,population,>=18 Years,Non-Medical Setting,location_per_1000
Abbeville,42.58571428571429,83.0,24368.0,42.239999999999995,43.45,3.406106369008536
Accomack,42.81428571428571,18.0,33367.0,44.6,38.35,0.5394551502981988
Ada,47.01428571428571,422.0,497494.0,44.04,54.45,0.8482514361982255
Adair,40.56071428571429,76.0,17847.75,41.08,39.2625,4.258239834152764
Adams,40.99047619047619,766.0,72155.08333333333,41.52833333333333,39.645833333333336,10.616022664145863
Addison,51.18571428571429,27.0,37434.0,52.42,48.099999999999994,0.7212694342041993
Aiken,46.24285714285714,126.0,169865.0,42.44,55.75,0.7417655196773909
Aitkin,45.457142857142856,7.0,15859.0,47.339999999999996,40.75,0.4413897471467305
Alachua,39.56,201.0,279729.0,38.2,45.0,0.7185525991227224
Alamance,48.41428571428571,131.0,171779.0,47.18,51.5,0.7626077692849533
Alameda,40.371428571428574,778.0,1663823.0,45.239999999999995,28.2,0.46759781539262285
Alamosa,37.385714285714286,30.0,16460.0,36.82,38.8,1.8226002430133657
Albany,44.19285714285714,424.0,176283.0,41.839999999999996,50.075,2.405223419161235
Albemarle,52.800000000000004,156.0,112513.0,53.720000000000006,50.5,1.3865064481437699
Alcona,48.300000000000004,5.0,10238.0,48.9,46.8,0.4883766360617309
Alcorn,39.957142857142856,14.0,34717.0,38.04,44.75,0.4032606504018204
Alexander,42.978571428571435,98.0,20883.0,42.459999999999994,44.275,4.692812335392424
Alfalfa,43.18571428571429,10.0,5683.0,42.32000000000001,45.35,1.7596339961288052
Allamakee,46.67142857142857,6.0,14046.0,47.980000000000004,43.400000000000006,0.42716787697565145
Allegan,45.628571428571426,116.0,120189.0,44.459999999999994,48.55,0.9651465608333542
Allegany,41.07142857142857,94.0,57691.5,39.43,45.175,1.6293561443193538
Alleghany,45.478571428571435,33.0,13074.0,45.510000000000005,45.4,2.5240936209270304
Allegheny,51.228571428571435,941.0,1245310.0,51.279999999999994,51.1,0.755635143056749
Allen,41.56071428571429,232.5,108733.6,40.255,44.825,2.1382534929405446
Allendale,35.72857142857143,13.0,8073.0,35.0,37.55,1.6103059581320451
Alpena,44.42857142857143,22.0,28911.0,45.72,41.2,0.7609560374943792
Amador,41.44285714285714,29.0,40577.0,43.82,35.5,0.7146905882642877
Amelia,43.785714285714285,11.0,13309.0,42.4,47.25,0.8265083777894657
Amherst,42.98571428571428,20.0,31426.0,42.64,43.85,0.6364157067396424
Anderson,41.81428571428572,447.0,74328.8,39.716,47.06,6.013819676895093
Andrew,45.271428571428565,50.0,18069.0,43.44,49.849999999999994,2.7671702916597485
Androscoggin,44.471428571428575,109.0,111532.0,43.94,45.8,0.9772979951942045
